,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,도로명지상지하코드
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"15,700",1998,2017,성주순환로,00014,00000,47840,00,3321017,성주읍 경산리,0426,0000,47840,25021,1,성주우방타운,3,2,47840-1,84.96,426,47840,9,,,
28,,"7,700",2001,2017,성밖숲길,00043,00000,47840,01,4763204,성주읍 경산리,0496,0000,47840,25021,1,신성강변타운,3,30,47840-8,40.2696,496,47840,13,,,0
29,,"8,200",1992,2017,성주읍1길,00020,00000,47840,01,4763226,성주읍 성산리,2094,0000,47840,25024,1,청일가야,3,18,47840-4,59.9025,2094,47840,12,,,0
30,,"17,200",2012,2017,성주읍2길,00043,00000,47840,01,4763227,성주읍 예산리,0795,0000,47840,25028,1,썬베르디움101동,3,12,47840-54,84.93,795,47840,1,,,0
31,,"18,200",2013,2017,성주순환로3길,00035,00000,47840,01,4763438,성주읍 백전리,0630,0000,47840,25029,1,실리안,3,7,47840-58,69.8745,630,47840,12,,,0
32,,"18,300",2015,2017,성주순환로3길,00025,00000,47840,01,4763438,성주읍 백전리,0631,0000,47840,25029,1,성주하나로,3,21,47840-67,67.6572,631,47840,10,,,0
33,,"8,100",2001,2017,대장길,00119,00003,47840,01,4763059,초전면 대장리,0588,0004,47840,38032,1,초전,3,23,47840-10,48.292,588-4,47840,11,,,0
