,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"8,990",2003,2017,중앙로,00103,00000,48850,01,0,3344026,하동읍 읍내리,0970,0000,48850,25021,1,송보파인빌,2,16,48850-16,51.0746,970,48850,15,,
1,"9,000",2003,2017,중앙로,00103,00000,48850,01,0,3344026,하동읍 읍내리,0970,0000,48850,25021,1,송보파인빌,2,20,48850-16,51.0746,970,48850,8,,
2,"18,700",2017,2017,송림3길,00019,00023,48850,01,0,4832279,하동읍 광평리,0254,0001,48850,25022,1,파밀리에,2,6,48850-78,76.2517,254-1,48850,5,,
3,"18,900",2017,2017,송림3길,00019,00023,48850,01,0,4832279,하동읍 광평리,0254,0001,48850,25022,1,파밀리에,2,6,48850-78,76.2517,254-1,48850,7,,
4,"18,900",2017,2017,송림3길,00019,00023,48850,01,0,4832279,하동읍 광평리,0254,0001,48850,25022,1,파밀리에,2,9,48850-78,76.2517,254-1,48850,7,,
5,"13,500",1992,2017,경서대로,00071,00000,48850,01,0,2332001,하동읍 광평리,0428,0000,48850,25022,1,대경송림타운,2,10,48850-5,84.83,428,48850,12,,
6,"18,800",2017,2017,송림3길,00019,00023,48850,01,0,4832279,하동읍 광평리,0254,0001,48850,25022,1,파밀리에,2,16,48850-78,76.2517,254-1,48850,6,,
7,"7,200",1992,2017,경서대로,00071,00000,48850,01,0,2332001,하동읍 광평리,0428,0000,48850,25022,1,대경송림타운,2,21,48850-5,59.85,428,48850,5,,
8,"11,000",1992,2017,경서대로,00071,00000,48850,01,0,2332001,하동읍 광평리,0428,0000,48850,25022,1,대경송림타운,2,27,48850-5,84.83,428,48850,12,,
9,"12,500",2009,2017,산복2길,00010,00000,48850,01,0,4832216,하동읍 비파리,0411,0000,48850,25023,1,녹차마을,2,21,48850-67,59.3202,411,48850,2,,
10,"7,000",1999,2017,진교중앙길,00040,00000,48850,01,0,4832435,진교면 진교리,0182,0000,48850,37021,1,다금빌라,2,17,48850-9,83.07,182,48850,3,,
11,"7,600",2002,2017,들포길,00038,00000,48850,01,0,4832133,진교면 고룡리,0003,0000,48850,37024,1,미진스위트빌,2,7,48850-15,59.6544,3,48850,3,,
12,"7,250",2002,2017,들포길,00038,00000,48850,01,0,4832133,진교면 고룡리,0003,0000,48850,37024,1,미진스위트빌,2,10,48850-15,49.9537,3,48850,15,,
13,"8,700",2002,2017,들포길,00038,00000,48850,01,0,4832133,진교면 고룡리,0003,0000,48850,37024,1,미진스위트빌,2,21,48850-15,59.6544,3,48850,12,,
14,"8,000",2011,2017,산업로,00485,00000,48850,02,0,3000221,금성면 갈사리,0628,0000,48850,42024,1,하동 해양 파크빌,2,3,48850-69,82.829,628,48850,1,,
15,"5,500",2011,2017,산업로,00485,00000,48850,02,0,3000221,금성면 갈사리,0628,0000,48850,42024,1,하동 해양 파크빌,2,6,48850-69,38.477,628,48850,1,,
16,"5,300",2011,2017,산업로,00485,00000,48850,02,0,3000221,금성면 갈사리,0628,0000,48850,42024,1,하동 해양 파크빌,2,13,48850-69,57.925,628,48850,2,,
