,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
12,"7,000",2000,2017,도작로,00033,00000,45210,01,0,3272017,신풍동,0063,0000,45210,10200,1,부영(3차),2,14,45210-21,59.933,63,45210,18,,,
13,"7,200",1990,2017,두월로,00207,00000,45210,01,0,3272019,신풍동,0034,0000,45210,10200,1,한신맨션,2,15,45210-19,83.7,34,45210,7,,,
14,"17,720",2014,2017,두월3길,00025,00000,45210,01,0,4616291,신풍동,0653,0000,45210,10200,1,아이지파크,2,15,45210-106,76.363,653,45210,7,,,
15,"12,900",2001,2017,금성8길,00056,00000,45210,01,0,4616113,신풍동,0605,0000,45210,10200,1,대방,2,15,45210-24,82.8836,605,45210,2,,,
16,"4,900",1992,2017,금성로,00102,00000,45210,01,0,3272008,신풍동,0070,0000,45210,10200,1,주공,2,17,45210-18,39.6,70,45210,1,,,
17,"5,900",2000,2017,도작로,00033,00000,45210,01,0,3272017,신풍동,0063,0000,45210,10200,1,부영(3차),2,17,45210-21,49.896,63,45210,13,,,
18,"6,950",2000,2017,도작로,00033,00000,45210,01,0,3272017,신풍동,0063,0000,45210,10200,1,부영(3차),2,17,45210-21,59.933,63,45210,4,,,
19,"4,000",1992,2017,금성로,00102,00000,45210,01,0,3272008,신풍동,0070,0000,45210,10200,1,주공,2,20,45210-18,39.6,70,45210,2,,,
20,"5,200",1993,2017,도작로,00093,00000,45210,01,0,3272017,신풍동,0595,0000,45210,10200,1,비사벌,2,21,45210-16,59.4,595,45210,14,,,
21,"13,800",2001,2017,금성8길,00056,00000,45210,01,0,4616113,신풍동,0605,0000,45210,10200,1,대방,2,21,45210-24,82.8836,605,45210,3,,,
22,"8,200",1990,2017,두월로,00207,00000,45210,01,0,3272019,신풍동,0034,0000,45210,10200,1,한신맨션,2,23,45210-19,100.11,34,45210,10,,,
23,"5,900",1993,2017,도작로,00093,00000,45210,01,0,3272017,신풍동,0595,0000,45210,10200,1,비사벌,2,24,45210-16,59.4,595,45210,10,,,
24,"7,200",2000,2017,도작로,00033,00000,45210,01,0,3272017,신풍동,0063,0000,45210,10200,1,부영(3차),2,24,45210-21,59.933,63,45210,9,,,
25,"16,350",2013,2017,도작2길,00017,00000,45210,01,0,4616244,신풍동,0028,0000,45210,10200,1,루비츠,2,26,45210-93,84.8942,28,45210,5,,,
26,"9,100",2001,2017,벽지산로,00070,00000,45210,01,0,3272024,신풍동,0365,0000,45210,10200,1,성산그린빌,2,27,45210-22,83.1066,365,45210,3,,,
27,"15,950",2016,2017,검산택지길,00061,00000,45210,01,0,4617104,검산동,1080,0001,45210,10400,1,김제검산 화산 샬레2차아파트,2,1,45210-118,59.9589,1080-1,45210,6,,,
28,"15,300",2015,2017,검산택지4길,00030,00000,45210,01,0,4617108,검산동,1080,0000,45210,10400,1,김제검산샬레1차,2,3,45210-110,75.0534,1080,45210,1,,,
29,"20,350",2016,2017,검산택지길,00061,00000,45210,01,0,4617104,검산동,1080,0001,45210,10400,1,김제검산 화산 샬레2차아파트,2,7,45210-118,84.9583,1080-1,45210,3,,,
30,"10,900",2004,2017,도작4길,00055,00000,45210,01,0,4616246,검산동,1048,0000,45210,10400,1,검산2단지주공,2,10,45210-31,59.56,1048,45210,5,,,
31,"16,200",2015,2017,검산택지4길,00030,00000,45210,01,0,4617108,검산동,1080,0000,45210,10400,1,김제검산샬레1차,2,10,45210-110,75.0534,1080,45210,3,,,
32,"8,500",1998,2017,요촌동길,00056,00000,45210,02,0,4616700,검산동,1030,0003,45210,10400,1,진우(2차),2,14,45210-28,59.99,1030-3,45210,15,,,
33,"19,880",2015,2017,검산택지4길,00030,00000,45210,01,0,4617108,검산동,1080,0000,45210,10400,1,김제검산샬레1차,2,16,45210-110,84.9375,1080,45210,3,,,
34,"18,850",2016,2017,검산택지길,00061,00000,45210,01,0,4617104,검산동,1080,0001,45210,10400,1,김제검산 화산 샬레2차아파트,2,16,45210-118,84.9583,1080-1,45210,1,,,
35,"9,700",2004,2017,도작4길,00055,00000,45210,01,0,4616246,검산동,1048,0000,45210,10400,1,검산2단지주공,2,18,45210-31,59.56,1048,45210,2,,,
36,"20,000",2015,2017,검산택지4길,00030,00000,45210,01,0,4617108,검산동,1080,0000,45210,10400,1,김제검산샬레1차,2,18,45210-110,84.9375,1080,45210,3,,,
37,"8,800",1998,2017,요촌동길,00056,00000,45210,00,,4616700,검산동,1030,0000,45210,10400,1,진우(1차),2,20,45210-26,59.99,1030,45210,6,,,
38,"18,800",2014,2017,도작4길,00007,00000,45210,01,0,4616246,검산동,0829,0000,45210,10400,1,스카이뷰,2,20,45210-107,84.8714,829,45210,4,,,
39,"8,350",1998,2017,요촌동길,00056,00000,45210,02,0,4616700,검산동,1030,0003,45210,10400,1,진우(2차),2,20,45210-28,59.99,1030-3,45210,9,,,
40,"10,500",2004,2017,도작4길,00055,00000,45210,01,0,4616246,검산동,1048,0000,45210,10400,1,검산2단지주공,2,23,45210-31,59.56,1048,45210,4,,,
41,"20,250",2016,2017,검산택지길,00061,00000,45210,00,0,4617104,검산동,1080,0001,45210,10400,1,김제검산 화산 샬레2차아파트,2,23,45210-118,84.9692,1080-1,45210,2,,,
42,"11,000",2004,2017,도작4길,00055,00000,45210,01,0,4616246,검산동,1048,0000,45210,10400,1,검산2단지주공,2,25,45210-31,59.56,1048,45210,12,,,
43,"17,307",2015,2017,검산택지4길,00030,00000,45210,01,0,4617108,검산동,1080,0000,45210,10400,1,김제검산샬레1차,2,28,45210-110,75.0534,1080,45210,4,,,
44,"17,000",2009,2017,남북로,00267,00000,45210,03,0,3272083,서암동,0017,0001,45210,10700,1,위드,2,7,45210-78,84.8624,17-1,45210,9,,,
45,"21,800",2016,2017,요촌중길,00146,00000,45210,02,0,4616707,하동,0595,0000,45210,11200,1,김제 하동 오투그란데,2,13,45210-114,84.952,595,45210,10,,,
46,"15,400",2016,2017,요촌중길,00146,00000,45210,02,0,4616707,하동,0595,0000,45210,11200,1,김제 하동 오투그란데,2,22,45210-114,59.5138,595,45210,9,,,
47,"18,000",2016,2017,요촌중길,00146,00000,45210,02,0,4616707,하동,0595,0000,45210,11200,1,김제 하동 오투그란데,2,25,45210-114,74.2638,595,45210,1,,,
48,"2,000",1995,2017,백산로,00032,00017,45210,00,0,3016025,흥사동,0558,0023,45210,11300,1,서흥,2,24,45210-33,38.07,558-23,45210,1,,,
49,"2,100",1995,2017,백산로,00032,00017,45210,00,0,3016025,흥사동,0558,0023,45210,11300,1,서흥,2,24,45210-33,38.07,558-23,45210,2,,,
50,"2,400",2000,2017,만경로,00870,00012,45210,04,0,3016004,만경읍 몽산리,0079,0004,45210,25027,1,만경영광,2,21,45210-34,49.8,79-4,45210,1,,,
51,"2,550",2000,2017,만경로,00870,00012,45210,04,0,3016004,만경읍 몽산리,0079,0004,45210,25027,1,만경영광,2,27,45210-34,49.8,79-4,45210,4,,,
52,"5,500",1995,2017,금구로,00050,00009,45210,01,0,3272005,금구면 금구리,0431,0004,45210,42021,1,송원금구,2,16,45210-35,59.85,431-4,45210,6,,,
