,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,"24,900",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),8,1,41480-68,84.98,972,41480,5,,,
1,"22,500",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,8,1,41480-72,59.56,1022,41480,3,,,
2,"22,000",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,8,1,41480-71,59.06,1003,41480,19,,,
3,"15,500",1996,2017,황골로,00012,00000,41480,01,0,3206104,금촌동,0230,0002,41480,10100,1,장미2(230-2),8,2,41480-20,59.96,230-2,41480,8,,,
4,"31,000",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),8,2,41480-518,97.1878,1008,41480,10,,,
5,"8,300",1998,2017,시민회관길,00013,00011,41480,01,0,4418518,금촌동,0769,0005,41480,10100,1,장안귀빈(769-5),8,2,41480-66,46.98,769-5,41480,3,,,
6,"19,400",1997,2017,황골로,00040,00000,41480,01,0,3206104,금촌동,0234,0022,41480,10100,1,두보3(234-22),8,3,41480-17,84.98,234-22,41480,15,,,
7,"17,700",1994,2017,한마음2길,00013,00000,41480,01,0,4418852,금촌동,0234,0008,41480,10100,1,두보1(234-8),8,5,41480-15,59.805,234-8,41480,8,,,
8,"13,000",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),8,7,41480-26,39.99,922,41480,7,,,
9,"28,800",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),8,7,41480-518,98.536,1008,41480,2,,,
10,"34,000",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),8,7,41480-518,124.0861,1008,41480,14,,,
11,"25,000",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,8,7,41480-70,84.87,992,41480,1,,,
12,"26,900",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,8,7,41480-70,75.79,992,41480,16,,,
13,"25,700",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),8,7,41480-68,84.98,972,41480,11,,,
14,"20,700",1998,2017,황골로,00018,00000,41480,01,0,3206104,금촌동,0228,0001,41480,10100,1,건일장미(228-1),8,8,41480-9,84.87,228-1,41480,6,,,
15,"9,350",2012,2017,정담길,00185,00000,41480,01,0,4418712,금촌동,1014,0002,41480,10100,1,그린,8,8,41480-750,19.59,1014-2,41480,4,,,
16,"9,150",2012,2017,정담길,00185,00000,41480,01,0,4418712,금촌동,1014,0002,41480,10100,1,그린,8,8,41480-750,19.59,1014-2,41480,3,,,
17,"27,500",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),8,8,41480-518,98.536,1008,41480,2,,,
18,"23,400",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,8,8,41480-71,59.06,1003,41480,16,,,
19,"23,000",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,8,8,41480-71,59.06,1003,41480,10,,,
20,"22,700",1997,2017,황골로,00040,00000,41480,01,0,3206104,금촌동,0234,0022,41480,10100,1,두보3(234-22),8,8,41480-17,110.01,234-22,41480,6,,,
21,"16,200",1999,2017,정담길,00085,00009,41480,01,0,4418712,금촌동,0015,0006,41480,10100,1,동문3차,8,8,41480-13,59.4,15-6,41480,8,,,
22,"25,000",1997,2017,중앙로,00308,00000,41480,01,0,3206129,금촌동,0052,0039,41480,10100,1,금촌타워(52-39),8,8,41480-11,214.08,52-39,41480,18,,,
23,"17,350",1997,2017,황골로,00022,00000,41480,01,0,3206104,금촌동,0233,0006,41480,10100,1,장미3(233-6),8,9,41480-21,59.96,233-6,41480,18,,,
24,"28,100",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,8,9,41480-70,84.87,992,41480,13,,,
25,"26,400",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,8,9,41480-70,84.87,992,41480,14,,,
