,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,도로명지상지하코드
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"20,600",2000,2017,경안로,00106,00000,41610,01,3211001,경안동,0185,0001,41610,10100,1,해태,10,13,41610-3,59.01,185-1,41610,2,,,
28,,"25,700",2002,2017,문화로101번길,00009,00000,41610,01,4433215,경안동,0157,0002,41610,10100,1,푸르지오,10,14,41610-4,59.9211,157-2,41610,9,,,0
29,,"24,500",2002,2017,문화로101번길,00009,00000,41610,01,4433215,경안동,0157,0002,41610,10100,1,푸르지오,10,17,41610-4,59.9211,157-2,41610,8,,,0
30,,"17,500",1995,2017,포돌이로11번길,00010,00000,41610,01,4433500,경안동,0127,0000,41610,10100,1,두진,10,19,41610-2,49.88,127,41610,7,,,0
31,,"20,000",2000,2017,경안로,00106,00000,41610,01,3211001,경안동,0185,0001,41610,10100,1,해태,10,24,41610-3,59.01,185-1,41610,3,,,
32,,"27,800",2013,2017,경충대로,01498,00000,41610,01,2012002,쌍령동,0501,0000,41610,10200,1,서희스타힐스,10,9,41610-3395,84.99,501,41610,10,,,0
33,,"23,200",2000,2017,경충대로1422번길,00041,00000,41610,01,4433033,쌍령동,0353,0009,41610,10200,1,쌍령 현대아파트,10,14,41610-6,104.683,353-9,41610,12,,,0
34,,"24,000",2003,2017,경충대로1422번길,00042,00000,41610,01,4433033,쌍령동,0360,0001,41610,10200,1,현대모닝사이드2,10,14,41610-40,84.9014,360-1,41610,9,,,0
