,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"5,150",1995,2017,성동1길,00074,00000,47250,02,0,4733440,성동동,0063,0000,47250,10200,1,경희삼백,6,10,47250-2,39.92,63,47250,1,,
1,"17,500",1994,2017,인봉3길,00037,00000,47250,01,0,4733722,인봉동,0069,0000,47250,10300,1,늘푸른타운,6,26,47250-5,167.07,69,47250,6,,
2,"11,000",1995,2017,복룡3길,00029,00000,47250,01,0,4733317,복룡동,0206,0006,47250,10400,1,우방2,6,1,47250-8,59.73,206-6,47250,13,,
3,"9,700",2001,2017,삼백로,00257,00000,47250,02,0,3311028,복룡동,0245,0000,47250,10400,1,주공6,6,5,47250-39,49.81,245,47250,3,,
4,"9,400",2001,2017,삼백로,00257,00000,47250,02,0,3311028,복룡동,0245,0000,47250,10400,1,주공6,6,6,47250-39,49.81,245,47250,11,,
5,"8,100",2001,2017,삼백로,00257,00000,47250,02,0,3311028,복룡동,0245,0000,47250,10400,1,주공6,6,9,47250-39,39.64,245,47250,8,,
6,"12,300",2001,2017,삼백로,00257,00000,47250,02,0,3311028,복룡동,0245,0000,47250,10400,1,주공6,6,12,47250-39,59.89,245,47250,14,,
7,"10,900",1995,2017,복룡3길,00029,00000,47250,01,0,4733317,복룡동,0206,0006,47250,10400,1,우방2,6,14,47250-8,59.73,206-6,47250,14,,
8,"9,800",2001,2017,삼백로,00257,00000,47250,02,0,3311028,복룡동,0245,0000,47250,10400,1,주공6,6,15,47250-39,49.81,245,47250,2,,
9,"7,500",2001,2017,삼백로,00257,00000,47250,02,0,3311028,복룡동,0245,0000,47250,10400,1,주공6,6,21,47250-39,39.64,245,47250,11,,
