,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"37,000",1998,2017,가산로,00099,00000,11545,01,0,3117003,가산동,0769,0000,11545,10100,1,두산,1,1,11545-2,84.9,769,11545,1,,
1,"38,550",1998,2017,가산로,00099,00000,11545,01,0,3117003,가산동,0769,0000,11545,10100,1,두산,1,3,11545-2,84.9,769,11545,21,,
2,"12,400",2013,2017,남부순환로,01266,00000,11545,01,0,2000003,가산동,0141,0002,11545,10100,1,가산양우내안에애플,1,4,11545-1825,12.04,141-2,11545,11,,
3,"12,200",2013,2017,남부순환로,01266,00000,11545,01,0,2000003,가산동,0141,0002,11545,10100,1,가산양우내안에애플,1,5,11545-1825,12.04,141-2,11545,8,,
4,"38,100",1998,2017,가산로,00099,00000,11545,01,0,3117003,가산동,0769,0000,11545,10100,1,두산,1,21,11545-2,84.9,769,11545,10,,
5,"28,600",2003,2017,독산로78다길,00012,00000,11545,01,0,4151158,독산동,0184,0004,11545,10200,1,동심,1,3,11545-81,84.4589,184-4,11545,4,,
6,"40,000",2004,2017,범안로,01136,00000,11545,02,0,3000027,독산동,1140,0000,11545,10200,1,독산동중앙하이츠빌,1,3,11545-108,84.8768,1140,11545,7,,
7,"24,900",1998,2017,범안로12길,00015,00000,11545,01,0,4151206,독산동,1006,0132,11545,10200,1,삼환아파트,1,4,11545-15,59.94,1006-132,11545,6,,
8,"40,200",2008,2017,벚꽃로6길,00003,00000,11545,01,0,4151237,독산동,1143,0000,11545,10200,1,이랜드해가든,1,5,11545-1476,84.927,1143,11545,10,,
9,"30,000",2001,2017,범안로,01158,00000,11545,02,0,3000027,독산동,1003,0021,11545,10200,1,태영아파트,1,6,11545-149,84.55,1003-21,11545,12,,
10,"38,000",2008,2017,벚꽃로6길,00003,00000,11545,01,0,4151237,독산동,1143,0000,11545,10200,1,이랜드해가든,1,6,11545-1476,84.927,1143,11545,11,,
11,"31,000",2006,2017,남부순환로120길,00017,00000,11545,01,0,4151040,독산동,0958,0000,11545,10200,1,을미월드힐,1,7,11545-160,84.87,958,11545,4,,
