,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"9,700",1992,2017,석화로,00116,00000,42720,01,0,3225022,홍천읍 희망리,0043,0001,42720,25023,1,미진1,7,6,42720-2,82.86,43-1,42720,3,,
28,,"5,500",1998,2017,마지기로,00110,00000,42720,01,0,3225015,홍천읍 희망리,0424,0000,42720,25023,1,신아1차,7,12,42720-17,39.99,424,42720,12,,
29,,"18,000",2007,2017,희망로3길,00015,00000,42720,01,0,4475668,홍천읍 희망리,0311,0029,42720,25023,1,거림하이츠빌,7,21,42720-121,113.83,311-29,42720,4,,
30,,"9,000",1992,2017,홍천로1길,00007,00000,42720,01,0,4475638,홍천읍 희망리,0349,0006,42720,25023,1,만복아트빌라,7,24,42720-1,76.22,349-6,42720,5,,
31,,"5,600",1998,2017,마지기로,00110,00000,42720,01,0,3225015,홍천읍 희망리,0424,0000,42720,25023,1,신아1차,7,25,42720-17,39.99,424,42720,10,,
32,,"7,500",1994,2017,마지기로,00101,00000,42720,01,0,3225015,홍천읍 희망리,0261,0003,42720,25023,1,미진2,7,26,42720-3,52.2,261-3,42720,12,,
33,,"3,300",1990,2017,석화안길2길,00017,00000,42720,01,0,4475360,홍천읍 희망리,0013,0004,42720,25023,1,우신,7,31,42720-16,29.79,13-4,42720,1,,
