,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"8,000",1998,2017,옥당로,00190,00005,46870,01,0,3298028,영광읍 단주리,0553,0000,46870,25028,1,금호,8,22,46870-10,73.37,553,46870,3,,
28,,"8,050",1997,2017,옥당로,00233,00012,46870,01,0,3298028,영광읍 단주리,0370,0012,46870,25028,1,사직스카이(370-12),8,23,46870-17,59.96,370-12,46870,5,,
29,,"11,100",2004,2017,천년로,01440,00012,46870,01,0,3298037,영광읍 녹사리,0038,0000,46870,25036,1,영광녹사주공,8,1,46870-23,59.99,38,46870,10,,
30,,"21,000",2013,2017,천년로,01440,00026,46870,01,0,3298037,영광읍 녹사리,0047,0000,46870,25036,1,모두원웰리스,8,9,46870-97,84.9655,47,46870,16,,
31,,"5,600",1997,2017,옥당로,00085,00008,46870,01,0,3298028,영광읍 녹사리,0019,0002,46870,25036,1,국제,8,18,46870-12,39.54,19-2,46870,18,,
32,,"15,100",2011,2017,영대로,00050,00029,46870,01,0,3000217,영광읍 송림리,0011,0005,46870,25038,1,아마빌레101동,8,14,46870-84,84.9736,11-5,46870,3,,
33,,"3,600",2000,2017,법성길1길,00051,00000,46870,01,0,4694136,법성면 법성리,0598,0002,46870,37022,1,성산,8,23,46870-32,34.44,598-2,46870,11,,
