부동산ID,법정동코드,거래금액,건축년도,계약날짜,아파트명,면적,층
425056,47290,190000000,2014,2017-11-11,삼성현의아침,84,9
425057,47290,72000000,1990,2017-11-12,동남,59,10
425058,47290,73000000,1990,2017-11-16,동남,59,5
425059,47290,74500000,1990,2017-11-29,동남,59,1
425060,47290,190000000,2005,2017-11-01,동화리버빌,84,4
425061,47290,177500000,2004,2017-11-02,부영초록마을,84,10
425062,47290,98000000,1995,2017-11-07,윤성2차타운,59,11
425063,47290,216000000,2005,2017-11-07,경산백천월드메르디앙,77,3
425064,47290,231000000,2005,2017-11-07,경산백천월드메르디앙,84,3
425065,47290,168000000,2004,2017-11-08,부영초록마을,84,8
425066,47290,221000000,2005,2017-11-08,경산백천월드메르디앙,77,12
425067,47290,213000000,2005,2017-11-09,동화리버빌,84,7
425068,47290,250000000,2005,2017-11-09,경산백천월드메르디앙,84,15
425069,47290,96800000,1995,2017-11-10,윤성2차타운,59,1
425070,47290,180000000,2004,2017-11-11,부영초록마을,84,12
425071,47290,162500000,2005,2017-11-12,경산백천신나리,59,9
425072,47290,100000000,1995,2017-11-14,윤성2차타운,59,1
425073,47290,105000000,1995,2017-11-15,윤성2차타운,59,13
425074,47290,148000000,2005,2017-11-16,경산백천신나리,59,12
425075,47290,248000000,2005,2017-11-16,경산백천월드메르디앙,84,15
425076,47290,109500000,1995,2017-11-18,윤성2차타운,59,4
425077,47290,229000000,2005,2017-11-18,경산백천월드메르디앙,84,3
425078,47290,124000000,2005,2017-11-18,경산백천신나리,44,14
425079,47290,221000000,2005,2017-11-18,동화리버빌,84,7
425080,47290,105000000,1995,2017-11-20,윤성2차타운,59,7
425081,47290,205000000,2005,2017-11-20,동화리버빌,84,4
425082,47290,219000000,2005,2017-11-25,경산백천월드메르디앙,77,6
425083,47290,180000000,2004,2017-11-28,부영초록마을,84,6
425084,47290,318000000,2005,2017-11-28,경산백천월드메르디앙,121,9
425085,47290,253000000,2005,2017-11-28,경산백천월드메르디앙,84,14
425086,47290,103000000,1995,2017-11-29,윤성2차타운,59,3
425087,47290,165000000,2004,2017-11-29,부영초록마을,84,2
425088,47290,183000000,2005,2017-11-01,부영우리마을(2단지),84,3
425089,47290,188500000,2005,2017-11-02,부영우리마을(2단지),84,5
425090,47290,166000000,2004,2017-11-03,부영조은마을(1단지),84,1
425091,47290,295000000,2009,2017-11-03,성암산신동아파밀리에,106,3
425092,47290,218000000,2006,2017-11-04,부영두리마을(3단지),84,15
425093,47290,341000000,2009,2017-11-04,경산 우방유쉘,114,13
425094,47290,260000000,2015,2017-11-05,옥곡태왕아너스고은아파트,84,5
425095,47290,200000000,2006,2017-11-07,부영두리마을(3단지),84,3
425096,47290,350000000,2009,2017-11-07,성암산신동아파밀리에,124,11
425097,47290,209000000,2006,2017-11-08,부영두리마을(3단지),84,11
425098,47290,282000000,2006,2017-11-09,웰리치성암,115,15
425099,47290,223000000,2006,2017-11-09,부영두리마을(3단지),84,10
425100,47290,210000000,2006,2017-11-10,부영두리마을(3단지),84,10
425101,47290,240000000,2015,2017-11-10,옥곡태왕아너스고은아파트,84,13
425102,47290,280000000,2009,2017-11-10,성암산신동아파밀리에,106,9
425103,47290,380000000,2009,2017-11-10,성암산신동아파밀리에,162,9
425104,47290,148000000,2004,2017-11-11,부영조은마을(1단지),59,12
425105,47290,215000000,2006,2017-11-11,부영두리마을(3단지),84,11
425106,47290,178000000,2004,2017-11-12,부영조은마을(1단지),84,14
425107,47290,120000000,2014,2017-11-12,옥곡투윈뷰 102동,44,8
425108,47290,160000000,2006,2017-11-12,부영두리마을(3단지),59,1
425109,47290,350000000,2009,2017-11-16,성암산신동아파밀리에,124,13
425110,47290,145000000,2004,2017-11-17,부영조은마을(1단지),59,4
425111,47290,203000000,2005,2017-11-17,부영우리마을(2단지),84,12
425112,47290,210000000,2005,2017-11-18,한일유앤아이,77,12
425113,47290,205000000,2004,2017-11-24,동화프라임빌,78,6
425114,47290,187000000,2004,2017-11-25,동화프라임빌,70,5
425115,47290,200000000,2005,2017-11-25,부영우리마을(2단지),84,4
425116,47290,217000000,2006,2017-11-26,부영두리마을(3단지),84,9
425117,47290,165000000,2006,2017-11-26,부영두리마을(3단지),59,13
425118,47290,268500000,2015,2017-11-27,옥곡태왕아너스고은아파트,84,8
425119,47290,184000000,2004,2017-11-28,동화프라임빌,70,6
425120,47290,186000000,2005,2017-11-28,부영우리마을(2단지),84,3
425121,47290,137000000,2004,2017-11-29,부영조은마을(1단지),59,1
425122,47290,273000000,2015,2017-11-29,옥곡태왕아너스고은아파트,84,11
425123,47290,215000000,2006,2017-11-29,부영두리마을(3단지),84,8
425124,47290,160000000,2006,2017-11-29,부영두리마을(3단지),59,5
425125,47290,160000000,2004,2017-11-29,부영조은마을(1단지),84,1
425126,47290,175000000,2004,2017-11-30,부영조은마을(1단지),84,15
425127,47290,425000000,2009,2017-11-30,성암산신동아파밀리에,162,6
425128,47290,190000000,2005,2017-11-30,부영우리마을(2단지),84,2
425129,47290,231000000,2005,2017-11-06,옥산서한이다음,84,3
425130,47290,104000000,1995,2017-11-30,옥산삼산타운,59,13
425131,47290,140000000,1993,2017-11-01,청구,71,11
425132,47290,100000000,1994,2017-11-04,협화타운,56,4
425133,47290,118000000,1993,2017-11-06,창신성암타운,56,7
425134,47290,153000000,1996,2017-11-07,옥산신화평광,59,17
425135,47290,110000000,1994,2017-11-07,협화타운,56,14
425136,47290,168000000,1996,2017-11-08,옥산신화평광,59,13
425137,47290,139000000,1994,2017-11-08,협화타운,65,12
425138,47290,120000000,1994,2017-11-10,옥산해오름,59,8
425139,47290,127000000,1994,2017-11-11,옥산해오름,59,12
425140,47290,110000000,1994,2017-11-11,협화타운,56,3
425141,47290,106000000,1994,2017-11-13,옥산해오름,59,3
425142,47290,149000000,1993,2017-11-13,우방타운,74,7
425143,47290,169000000,1996,2017-11-15,옥산신화평광,59,7
425144,47290,93000000,1994,2017-11-19,옥산해오름,49,1
425145,47290,192000000,1993,2017-11-21,우방타운,102,15
425146,47290,117000000,1993,2017-11-22,창신성암타운,53,7
425147,47290,198000000,1993,2017-11-27,우방타운,102,1
425148,47290,90000000,1993,2017-11-28,창신성암타운,53,2
425149,47290,158000000,1996,2017-11-06,옥산 태왕ㆍ한라타운,59,9
425150,47290,181000000,1996,2017-11-08,경남신성,59,12
425151,47290,230000000,1996,2017-11-11,경남신성,84,3
425152,47290,278000000,1996,2017-11-27,경남신성,116,8
425153,47290,220000000,1998,2017-11-04,한솔2차,84,11
425154,47290,279000000,1998,2017-11-06,한솔2차,134,17
425155,47290,167000000,1996,2017-11-08,현대타운,59,10
425156,47290,280000000,1993,2017-11-09,태왕귀빈타운,109,11
425157,47290,224000000,1996,2017-11-09,현대타운,84,12
425158,47290,139000000,1993,2017-11-09,태왕귀빈타운,59,13
425159,47290,168000000,1997,2017-11-11,한솔1차,59,11
425160,47290,176000000,1996,2017-11-11,현대타운,59,6
425161,47290,175000000,1998,2017-11-11,한솔3차,59,6
425162,47290,169000000,1994,2017-11-14,우방맨션3차,59,3
425163,47290,164000000,1998,2017-11-14,한솔2차,59,5
425164,47290,145000000,1993,2017-11-14,태왕귀빈타운,59,8
425165,47290,149000000,1993,2017-11-14,태왕귀빈타운,59,12
425166,47290,310000000,1990,2017-11-15,우방맨션1차,128,2
425167,47290,165500000,1993,2017-11-17,한서신혼하이츠,84,10
425168,47290,183000000,1996,2017-11-18,현대타운,59,20
425169,47290,320000000,2005,2017-11-18,LIG캐스빌2단지,84,8
425170,47290,219000000,1997,2017-11-19,한솔1차,84,17
425171,47290,168500000,1993,2017-11-20,한서신혼하이츠,78,18
425172,47290,217000000,1998,2017-11-21,한솔2차,84,17
425173,47290,212500000,1993,2017-11-23,태왕귀빈타운,84,6
425174,47290,230000000,1996,2017-11-23,현대타운,84,15
425175,47290,130000000,1994,2017-11-27,우방맨션3차,59,2
425176,47290,215000000,1993,2017-11-28,태왕귀빈타운,84,12
425177,47290,200000000,1991,2017-11-29,우방맨션2차,72,6
425178,47290,228000000,1991,2017-11-30,우방맨션2차,84,13
425179,47290,240000000,1996,2017-11-30,현대타운,84,17
425180,47290,195000000,2004,2017-11-01,대평그린빌,59,12
425181,47290,188500000,2004,2017-11-11,대평그린빌,59,9
425182,47290,192000000,2004,2017-11-15,대평그린빌,59,12
425183,47290,235000000,2004,2017-11-17,대평그린빌,75,3
425184,47290,194000000,2004,2017-11-21,대평그린빌,59,11
425185,47290,177000000,2004,2017-11-28,대평그린빌,59,2
425186,47290,164000000,2004,2017-11-28,대평그린빌,51,8
425187,47290,161800000,2004,2017-11-28,대평그린빌,51,15
425188,47290,226000000,2016,2017-11-03,영남대역코아루더테라스,82,1
425189,47290,250000000,2016,2017-11-08,영남대역코아루더테라스,82,5
425190,47290,217000000,2016,2017-11-14,영남대역코아루더테라스,82,4
425191,47290,67500000,1990,2017-11-01,초원맘모스,44,14
425192,47290,61000000,1990,2017-11-01,초원맘모스,44,6
425193,47290,75000000,1985,2017-11-02,계양주공,39,1
425194,47290,96000000,1985,2017-11-07,계양주공,47,1
425195,47290,85000000,1985,2017-11-10,계양주공,47,4
425196,47290,60000000,1985,2017-11-21,계양주공,32,3
425197,47290,63000000,1985,2017-11-22,계양주공,31,2
425198,47290,55000000,1985,2017-11-22,계양주공,32,5
425199,47290,75000000,1985,2017-11-22,계양주공,47,4
425200,47290,87800000,1985,2017-11-26,계양주공,47,2
425201,47290,87000000,1985,2017-11-26,계양주공,46,5
425202,47290,68500000,1985,2017-11-30,계양주공,39,1
425203,47290,61000000,1985,2017-11-30,계양주공,39,5
425204,47290,368000000,2010,2017-11-01,중방e-편한세상1단지,84,9
425205,47290,345000000,2010,2017-11-06,중방e-편한세상2단지,84,10
425206,47290,425000000,2010,2017-11-07,중방e-편한세상1단지,101,19
425207,47290,463000000,2010,2017-11-08,중방e-편한세상2단지,121,12
425208,47290,452000000,2010,2017-11-11,중방e-편한세상1단지,121,10
425209,47290,360000000,2010,2017-11-14,중방e-편한세상2단지,84,13
425210,47290,345000000,2010,2017-11-15,중방e-편한세상1단지,84,3
425211,47290,447000000,2010,2017-11-17,중방e-편한세상2단지,121,5
425212,47290,429000000,2010,2017-11-21,중방e-편한세상1단지,121,2
425213,47290,375000000,2010,2017-11-22,중방e-편한세상3단지,101,9
425214,47290,143000000,1989,2017-11-23,초원하이츠,71,8
425215,47290,371000000,2010,2017-11-27,중방e-편한세상2단지,84,15
425216,47290,107500000,1989,2017-11-28,초원,69,4
425217,47290,354000000,2010,2017-11-29,중방e-편한세상3단지,84,15
425218,47290,80000000,1990,2017-11-02,창신백조2차,59,1
425219,47290,357500000,2010,2017-11-08,사동2지구화성파크드림,120,11
425220,47290,184000000,2001,2017-11-09,부영2차,84,12
425221,47290,358000000,2010,2017-11-09,사동2지구화성파크드림,119,9
425222,47290,164500000,2001,2017-11-10,부영2차,84,8
425223,47290,348000000,2010,2017-11-10,사동2지구화성파크드림,119,2
425224,47290,165000000,2001,2017-11-10,부영2차,84,18
425225,47290,380000000,2010,2017-11-11,사동2지구화성파크드림,130,16
425226,47290,350000000,2010,2017-11-11,사동2지구화성파크드림,119,7
425227,47290,165000000,2001,2017-11-12,부영2차,84,9
425228,47290,169000000,2001,2017-11-13,부영2차,84,14
425229,47290,162000000,2001,2017-11-16,부영2차,84,3
425230,47290,146000000,2003,2017-11-16,부영(5차)그린마을,59,13
425231,47290,95000000,1990,2017-11-17,창신백조1,59,1
425232,47290,162000000,2001,2017-11-18,부영2차,84,12
425233,47290,80000000,1990,2017-11-20,창신백조2차,59,5
425234,47290,170000000,2003,2017-11-25,부영3차원앙마을,84,11
425235,47290,178000000,2003,2017-11-25,부영(5차)그린마을,84,12
425236,47290,148000000,2003,2017-11-26,부영(5차)그린마을,59,12
425237,47290,180000000,2003,2017-11-27,부영(5차)그린마을,84,16
425238,47290,99000000,2001,2017-11-28,부영1차,50,3
425239,47290,108000000,2001,2017-11-29,부영1차,50,11
425240,47290,140000000,2001,2017-11-29,부영1차,59,6
425241,47290,210000000,2001,2017-11-10,태왕드림하이츠,85,1
425242,47290,130000000,2001,2017-11-13,태왕드림하이츠,39,12
425243,47290,225000000,2001,2017-11-15,태왕드림하이츠,85,3
425244,47290,153000000,1994,2017-11-03,하양우방3차,59,11
425245,47290,131000000,1999,2017-11-04,경산하양롯데,59,14
425246,47290,260000000,2006,2017-11-04,하양2차롯데낙천대,84,11
425247,47290,180000000,2006,2017-11-04,하양2차롯데낙천대,59,6
425248,47290,231000000,1999,2017-11-08,경산하양롯데,84,13
425249,47290,135000000,1998,2017-11-08,하양평광아파트,59,19
425250,47290,133000000,1998,2017-11-10,하양평광아파트,59,16
425251,47290,135000000,1999,2017-11-14,경산하양롯데,59,16
425252,47290,145000000,1999,2017-11-14,경산하양롯데,59,9
425253,47290,170000000,1999,2017-11-14,경산하양롯데,84,1
425254,47290,133000000,1997,2017-11-15,하양금락우방(4차),59,11
425255,47290,175000000,2006,2017-11-21,하양2차롯데낙천대,59,14
425256,47290,117000000,1998,2017-11-25,하양평광아파트,59,10
425257,47290,383000000,2006,2017-11-27,하양2차롯데낙천대,113,15
425258,47290,167000000,1988,2017-11-30,하양우방1차,84,2
425259,47290,121000000,1994,2017-11-01,하양청구1차,59,5
425260,47290,123000000,1994,2017-11-01,하양청구1차,59,6
425261,47290,125000000,2001,2017-11-03,하양청구2차,60,4
425262,47290,270000000,2017,2017-11-09,하양2차코아루,84,12
425263,47290,257000000,2001,2017-11-10,하양청구2차,121,2
425264,47290,253900000,2016,2017-11-13,하양코아루,73,12
425265,47290,178000000,1994,2017-11-18,하양청구1차,84,12
425266,47290,185000000,2001,2017-11-20,하양청구2차,84,18
425267,47290,266000000,2016,2017-11-22,하양코아루,73,5
425268,47290,123000000,1994,2017-11-25,하양청구1차,59,12
425269,47290,150000000,1994,2017-11-28,하양청구1차,84,11
425270,47290,269000000,2017,2017-11-28,하양2차코아루,84,8
425271,47290,100000000,1992,2017-11-30,하나맨션(2차),79,11
425272,47290,156000000,1999,2017-11-01,경산우방힐타운,84,17
425273,47290,150000000,1999,2017-11-02,경산우방힐타운,84,3
425274,47290,180000000,1999,2017-11-20,경산우방힐타운,84,9
425275,47290,157000000,1997,2017-11-01,경산선화청구타운,84,1
425276,47290,85500000,1997,2017-11-01,경산선화청구타운,59,2
425277,47290,147800000,2017,2017-11-02,이안경산진량아파트,59,6
425278,47290,172000000,1997,2017-11-04,경산선화청구타운,84,17
425279,47290,175850000,2017,2017-11-04,이안경산진량아파트,59,7
425280,47290,255000000,2017,2017-11-04,이안경산진량아파트,84,6
425281,47290,179940000,2017,2017-11-06,이안경산진량아파트,59,13
425282,47290,225090000,2017,2017-11-10,이안경산진량아파트,74,2
425283,47290,255400000,2017,2017-11-10,이안경산진량아파트,84,10
425284,47290,174000000,1997,2017-11-11,경산선화청구타운,84,17
425285,47290,90000000,1997,2017-11-11,경산선화청구타운,59,3
425286,47290,104000000,1997,2017-11-13,경산선화청구타운,59,9
425287,47290,71000000,1995,2017-11-14,경산1차윤성,59,5
425288,47290,73000000,1995,2017-11-14,경산1차윤성,59,9
425289,47290,45000000,1995,2017-11-17,경산1차윤성,40,18
425290,47290,255000000,2017,2017-11-18,이안경산진량아파트,84,10
425291,47290,75000000,1995,2017-11-20,경산1차윤성,59,15
425292,47290,181500000,2017,2017-11-21,이안경산진량아파트,74,15
425293,47290,70000000,1995,2017-11-23,경산1차윤성,59,10
425294,47290,168000000,2017,2017-11-23,이안경산진량아파트,59,17
425295,47290,50700000,1995,2017-11-25,경산1차윤성,40,13
425296,47290,189940000,2017,2017-11-25,이안경산진량아파트,59,16
425297,47290,150000000,2017,2017-11-25,이안경산진량아파트,59,7
425298,47290,165000000,2017,2017-11-29,이안경산진량아파트,59,9
425299,47290,230000000,2017,2017-11-30,이안경산진량아파트,84,13
425300,47290,199000000,2017,2017-11-30,이안경산진량아파트,74,16
425301,47290,50000000,1996,2017-11-03,경산1차삼주봉황타운,33,14
425302,47290,83000000,1996,2017-11-09,경산1차삼주봉황타운,59,12
425303,47290,88000000,1997,2017-11-11,경산3차삼주봉황타운,59,11
425304,47290,40000000,1996,2017-11-24,경산1차삼주봉황타운,33,1
425305,47290,44000000,1996,2017-11-24,경산1차삼주봉황타운,33,22
425306,47290,45000000,1996,2017-11-29,경산1차삼주봉황타운,33,3
425307,47290,94000000,1998,2017-11-01,경산4차삼주봉황타운,59,12
425308,47290,113000000,1998,2017-11-03,경산4차삼주봉황타운,59,11
425309,47290,48000000,1998,2017-11-05,경산4차삼주봉황타운,34,1
425310,47290,80000000,1998,2017-11-06,경산4차삼주봉황타운,59,8
425311,47290,80000000,1998,2017-11-14,경산4차삼주봉황타운,59,16
425312,47290,76000000,1998,2017-11-25,경산4차삼주봉황타운,59,19
425313,47290,95000000,1996,2017-11-01,창신무학타운,59,5
425314,47290,85000000,1996,2017-11-13,창신무학타운,59,13
425315,47290,86000000,1996,2017-11-19,창신무학타운,59,13
425316,47290,78500000,1996,2017-11-25,창신무학타운,59,12
425317,47290,70500000,1996,2017-11-09,초원장미타운,59,2
425318,47290,79000000,1996,2017-11-10,초원장미타운,59,8
425319,47290,80000000,1996,2017-11-09,창신황제타운,59,6
425320,47290,72000000,1996,2017-11-10,창신황제타운,59,18
425321,47290,71500000,1996,2017-11-17,창신황제타운,59,5
425322,47290,105000000,1997,2017-11-03,부적주공,49,9
425323,47290,108000000,1997,2017-11-09,부적주공,49,13
425324,47290,151000000,1998,2017-11-20,한라빌라트,84,13
425325,47290,127000000,1997,2017-11-28,부적주공,59,10
425326,47290,174000000,2011,2017-11-01,부영사랑으로2차,59,14
425327,47290,225000000,2015,2017-11-04,이편한세상경산신대아파트,59,17
425328,47290,330000000,2015,2017-11-04,경산 푸르지오,84,14
425329,47290,163500000,2011,2017-11-07,부영사랑으로1차,59,18
425330,47290,290000000,2015,2017-11-07,경산코아루아파트,84,19
425331,47290,268000000,2015,2017-11-10,경산코아루아파트,84,1
425332,47290,310000000,2015,2017-11-10,경산 푸르지오,84,4
425333,47290,318500000,2015,2017-11-11,경산 푸르지오,84,10
425334,47290,287000000,2015,2017-11-21,경산코아루아파트,84,16
425335,47290,247000000,2015,2017-11-27,경산 푸르지오,62,19
425336,47290,278000000,2015,2017-11-28,경산 푸르지오,74,18
425337,47290,291000000,2016,2017-11-28,경산 한신 휴플러스 아파트,84,7
425338,47290,318000000,2015,2017-11-30,경산 푸르지오,84,14
425339,47290,75000000,1996,2017-11-15,윤성3차,59,5
425340,47290,110000000,2009,2017-11-02,예다인,59,4
425341,47290,115000000,2009,2017-11-20,예다인,59,14
425342,47290,112000000,2009,2017-11-23,예다인,59,3
425343,47190,68000000,1994,2017-04-12,삼우궁전맨션,59,6
425344,47190,140000000,1993,2017-04-15,원평대동타운,84,10
425345,47190,162000000,2003,2017-04-02,주공그린빌2,75,11
425346,47190,210000000,2007,2017-04-02,휴먼시아4단지,84,9
425347,47190,178000000,2006,2017-04-02,구미도량뜨란채5단지,75,7
425348,47190,179000000,1994,2017-04-03,도량파크맨션,134,10
425349,47190,51000000,1995,2017-04-03,한빛타운,46,13
425350,47190,45000000,1993,2017-04-05,주공3,41,5
425351,47190,87000000,1993,2017-04-06,주공3,58,3
425352,47190,180000000,1994,2017-04-07,도량파크맨션,134,15
425353,47190,40500000,1993,2017-04-08,주공3,41,2
425354,47190,105000000,1993,2017-04-10,귀빈맨션,84,9
425355,47190,170000000,2006,2017-04-10,구미도량뜨란채5단지,75,6
425356,47190,50000000,1995,2017-04-10,한빛타운,46,4
425357,47190,200000000,2007,2017-04-11,휴먼시아4단지,84,8
425358,47190,79000000,1995,2017-04-12,도량4주공아파트,59,4
425359,47190,185000000,2003,2017-04-15,주공그린빌2,84,6
425360,47190,204000000,2006,2017-04-15,구미도량뜨란채5단지,84,14
425361,47190,155000000,1994,2017-04-18,도량파크맨션,119,6
425362,47190,53000000,1995,2017-04-18,한빛타운,46,9
425363,47190,165000000,2006,2017-04-19,구미도량뜨란채5단지,75,5
425364,47190,67000000,1993,2017-04-20,주공3,58,4
425365,47190,91000000,1993,2017-04-21,귀빈맨션,70,10
425366,47190,55000000,1995,2017-04-24,한빛타운,46,6
425367,47190,48000000,1995,2017-04-25,한빛타운,46,14
425368,47190,50000000,1995,2017-04-26,한빛타운,46,3
425369,47190,170000000,2003,2017-04-26,주공그린빌2,84,4
425370,47190,47000000,1993,2017-04-27,주공3,41,12
425371,47190,140000000,1999,2017-04-03,봉곡현대,84,9
425372,47190,135000000,2003,2017-04-04,구미도량2지구1단지,59,6
425373,47190,109000000,1999,2017-04-07,봉곡현대,59,10
425374,47190,290000000,2005,2017-04-09,현진에버빌,127,6
425375,47190,162000000,2011,2017-04-09,구미 봉곡 코아루,59,11
425376,47190,142000000,1999,2017-04-10,봉곡현대,84,9
425377,47190,115000000,1999,2017-04-10,봉곡현대,59,11
425378,47190,110000000,2003,2017-04-13,구미도량2지구1단지,51,7
425379,47190,185000000,2011,2017-04-14,구미 봉곡 코아루,84,5
425380,47190,137500000,2005,2017-04-15,영남네오빌2단지,69,21
425381,47190,292000000,2016,2017-04-16,e편한세상 봉곡,84,12
425382,47190,181000000,2005,2017-04-18,영남네오빌2단지,84,3
425383,47190,140000000,2005,2017-04-23,영남네오빌2단지,69,17
425384,47190,190000000,2005,2017-04-24,영남네오빌2단지,84,19
425385,47190,180000000,1999,2017-04-27,봉곡현대,99,11
425386,47190,270000000,2016,2017-04-29,e편한세상 봉곡,84,10
425387,47190,149000000,1999,2017-04-30,봉곡현대,84,4
425388,47190,252000000,2016,2017-04-30,e편한세상 봉곡,84,15
425389,47190,110000000,1997,2017-04-08,금오청구타운,59,2
425390,47190,390000000,2009,2017-04-10,남통e-편한세상,160,15
425391,47190,69000000,1992,2017-04-11,두산그린맨션201,59,9
425392,47190,230000000,2009,2017-04-15,남통e-편한세상,84,6
425393,47190,223000000,2009,2017-04-17,남통e-편한세상,84,3
425394,47190,120000000,1997,2017-04-24,금오청구타운,59,13
425395,47190,80000000,1994,2017-04-25,두산그린맨션(20-1),59,18
425396,47190,178000000,2010,2017-04-25,금오산 금호어울림 2단지,84,9
425397,47190,270000000,2009,2017-04-25,남통e-편한세상,125,11
425398,47190,105000000,1997,2017-04-03,정우주택17,84,4
425399,47190,164000000,1990,2017-04-03,풍림2차,84,9
425400,47190,60000000,1992,2017-04-03,형곡시영,50,10
425401,47190,200000000,1997,2017-04-07,대동빌라트,113,6
425402,47190,178000000,2004,2017-04-08,대림베스트빌201동,72,6
425403,47190,48000000,2000,2017-04-08,형곡오딧세이,34,9
425404,47190,57500000,1991,2017-04-13,대동맨션3차,69,3
425405,47190,243000000,2003,2017-04-13,반석드림파크901,114,3
425406,47190,88000000,1995,2017-04-15,협진골든맨션,84,4
425407,47190,160000000,2003,2017-04-18,조일월드빌501,84,14
425408,47190,60000000,1991,2017-04-19,삼우맨션909,75,2
425409,47190,144000000,1988,2017-04-21,형곡주공4,59,2
425410,47190,82000000,1991,2017-04-24,삼우915,83,3
425411,47190,127000000,2003,2017-04-24,대경파크빌801,83,4
425412,47190,103000000,1988,2017-04-24,형곡주공3,46,1
425413,47190,67000000,1988,2017-04-24,형곡주공3,32,5
425414,47190,63500000,1988,2017-04-25,형곡주공3,32,5
425415,47190,160000000,1990,2017-04-27,풍림2차,84,1
425416,47190,118000000,2004,2017-04-28,신화오페라하우스701,59,5
425417,47190,160000000,1990,2017-04-29,우방3차,84,8
425418,47190,121000000,1996,2017-04-01,한솔,59,8
425419,47190,44000000,1981,2017-04-01,한우1,40,4
425420,47190,305000000,2007,2017-04-03,푸르지오 캐슬B단지,84,15
425421,47190,115000000,1996,2017-04-05,동양한신,59,14
425422,47190,30000000,1981,2017-04-05,한우1,40,1
425423,47190,248000000,2007,2017-04-06,푸르지오캐슬A단지,84,12
425424,47190,250000000,2007,2017-04-08,푸르지오캐슬A단지,84,7
425425,47190,110000000,1988,2017-04-10,우방타운1,66,3
425426,47190,240000000,2007,2017-04-10,푸르지오캐슬A단지,77,16
425427,47190,200000000,1988,2017-04-10,우방타운1,118,4
425428,47190,69000000,1990,2017-04-12,로얄맨션,40,2
425429,47190,250000000,2007,2017-04-15,푸르지오캐슬A단지,107,1
425430,47190,190000000,1996,2017-04-19,동양한신,114,20
425431,47190,290000000,2007,2017-04-19,푸르지오캐슬A단지,84,9
425432,47190,240000000,2007,2017-04-19,푸르지오캐슬A단지,84,6
425433,47190,146000000,1990,2017-04-21,삼성직장조합(삼성장미),84,13
425434,47190,39500000,1988,2017-04-21,한가람빌리지,29,4
425435,47190,45000000,1981,2017-04-25,한우1,40,2
425436,47190,425000000,2007,2017-04-26,푸르지오 캐슬B단지,160,7
425437,47190,165000000,2007,2017-04-26,푸르지오 캐슬C단지,59,1
425438,47190,320000000,2007,2017-04-28,푸르지오캐슬A단지,137,5
425439,47190,92000000,1997,2017-04-06,벽산,59,11
425440,47190,104000000,1997,2017-04-15,강변보성타운,84,4
425441,47190,111000000,1997,2017-04-17,강변보성타운,84,5
425442,47190,65000000,1995,2017-04-20,전원리빙필,48,5
425443,47190,96000000,1997,2017-04-28,강변보성타운,59,14
425444,47190,197000000,2012,2017-04-07,우림필유,84,7
425445,47190,109000000,2011,2017-04-08,파라디아,44,14
425446,47190,180000000,2012,2017-04-13,우림필유,84,12
425447,47190,105000000,2011,2017-04-15,파라디아,44,4
425448,47190,87000000,1984,2017-04-18,공단3주공,68,3
425449,47190,177000000,2011,2017-04-25,파라디아,84,19
425450,47190,59000000,1985,2017-04-28,공단4주공,47,2
425451,47190,167000000,2009,2017-04-11,광평푸르지오1차,82,6
425452,47190,132000000,2001,2017-04-01,보성황실타운,60,15
425453,47190,135000000,2004,2017-04-04,삼성아파트3동,84,6
425454,47190,103500000,2001,2017-04-05,보성2황실타운,59,8
425455,47190,135000000,2003,2017-04-05,우원파크빌102동,84,9
425456,47190,110000000,2001,2017-04-17,보성2황실타운,59,12
425457,47190,113500000,2001,2017-04-18,보성2황실타운,59,3
425458,47190,117000000,2001,2017-04-20,보성2황실타운,59,9
425459,47190,147000000,2004,2017-04-24,삼성아파트3동,84,7
425460,47190,160000000,1999,2017-04-03,신세계타운1,84,13
425461,47190,282000000,2015,2017-04-03,구미상모 한신휴플러스,82,22
425462,47190,237000000,2004,2017-04-04,화성파크프레지던트2단지,84,17
425463,47190,158500000,1999,2017-04-11,신세계타운1,84,10
425464,47190,225000000,1999,2017-04-11,신세계타운1,145,10
425465,47190,120000000,1999,2017-04-13,신세계타운2단지,59,10
425466,47190,307500000,2004,2017-04-13,화성파크프레지던트1단지,115,20
425467,47190,162000000,1999,2017-04-15,신세계타운1,84,11
425468,47190,128000000,1999,2017-04-15,신세계타운1,59,16
425469,47190,165000000,1999,2017-04-17,신세계타운1,84,8
425470,47190,226000000,2015,2017-04-22,구미상모 한신휴플러스,70,5
425471,47190,157000000,1999,2017-04-25,신세계타운1,84,3
425472,47190,220000000,2015,2017-04-26,구미상모 한신휴플러스,70,4
425473,47190,139000000,1995,2017-04-28,두산맨션,84,2
425474,47190,205000000,2009,2017-04-01,코오롱 하늘채,84,1
425475,47190,165000000,2015,2017-04-05,구미임은삼도뷰엔빌W,59,13
425476,47190,73000000,1994,2017-04-07,임은대동타운,59,14
425477,47190,210000000,2009,2017-04-08,코오롱 하늘채,84,4
425478,47190,259000000,2009,2017-04-09,코오롱 하늘채,103,11
425479,47190,154000000,2004,2017-04-10,JY굿팔레스303동,84,3
425480,47190,216000000,2009,2017-04-11,코오롱 하늘채,84,6
425481,47190,170000000,2004,2017-04-12,동신파크뷰,84,10
425482,47190,190000000,2015,2017-04-15,구미임은삼도뷰엔빌W,76,3
