,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,"14,500",1994,2017,황골로,00025,00000,41480,00,0,3206104,금촌동,0230,0001,41480,10100,1,장미1(230-1),6,1,41480-19,59.94,230-1,41480,7,,,
1,"31,700",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),6,1,41480-518,124.0861,1008,41480,5,,,
2,"25,600",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),6,1,41480-240,84.82,1019,41480,18,,,
3,"23,000",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,6,1,41480-72,59.56,1022,41480,7,,,
4,"21,850",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,6,1,41480-71,59.06,1003,41480,10,,,
5,"15,950",1994,2017,한마음2길,00013,00000,41480,01,0,4418852,금촌동,0234,0008,41480,10100,1,두보1(234-8),6,2,41480-15,59.805,234-8,41480,5,,,
6,"21,000",2006,2017,금신초교길,00072,00000,41480,01,0,4418069,금촌동,1014,0000,41480,10100,1,한일유앤아이1차(1014-0),6,2,41480-550,74.8794,1014,41480,13,,,
7,"20,600",2006,2017,금신초교길,00072,00000,41480,01,0,4418069,금촌동,1014,0000,41480,10100,1,한일유앤아이1차(1014-0),6,2,41480-550,74.8794,1014,41480,13,,,
8,"31,800",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),6,2,41480-518,124.0861,1008,41480,19,,,
9,"26,800",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),6,2,41480-240,84.03,1019,41480,18,,,
10,"20,000",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,6,2,41480-72,51.67,1022,41480,7,,,
11,"22,300",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,6,2,41480-71,59.06,1003,41480,14,,,
12,"27,500",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,6,2,41480-70,84.87,992,41480,14,,,
13,"24,500",2004,2017,후곡로,00050,00000,41480,01,0,3206137,금촌동,0992,0000,41480,10100,1,후곡마을뜨란채주공4단지,6,2,41480-70,84.87,992,41480,2,,,
14,"15,300",1995,2017,정담길,00080,00000,41480,01,0,4418712,금촌동,0016,0000,41480,10100,1,동문2차아파트501동,6,2,41480-63,59.34,16,41480,2,,,
15,"17,800",1998,2017,황골로,00018,00000,41480,01,0,3206104,금촌동,0228,0001,41480,10100,1,건일장미(228-1),6,3,41480-9,59.96,228-1,41480,12,,,
16,"19,000",2006,2017,금신초교길,00072,00000,41480,01,0,4418069,금촌동,1014,0000,41480,10100,1,한일유앤아이1차(1014-0),6,3,41480-550,74.8794,1014,41480,15,,,
17,"33,000",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),6,3,41480-518,124.0861,1008,41480,18,,,
18,"30,400",2005,2017,후곡로,00077,00000,41480,01,0,3206137,금촌동,1008,0000,41480,10100,1,풍림아이원(1008-0),6,3,41480-518,97.1878,1008,41480,12,,,
19,"15,800",1999,2017,정담길,00123,00000,41480,01,0,4418712,금촌동,0424,0009,41480,10100,1,경신(424-9),6,3,41480-10,84.75,424-9,41480,15,,,
